iteration,obj_of_RMP
1,4557.034387699504
2,4557.034387699504
3,4557.034387699504
4,4557.034387699504
5,4557.034387699504
6,4557.034387699504
7,4557.034387699504
8,4557.034387699504
9,4552.977345220406
10,4549.829841381319
11,4549.829841381319
12,4549.829841381319
13,4548.304567427241
14,4548.304567427241
15,4548.304567427241
16,4548.304567427241
17,4548.304567427241
18,4548.304567427241
19,4548.304567427241
20,4548.304567427241
21,4548.304567427241
22,4548.304567427241
23,4547.240431311287
24,4547.240431311287
25,4547.240431311287
26,4547.240431311287
27,4547.240431311287
28,4547.240431311287
29,4547.240431311287
30,4547.240431311287
31,4547.240431311287
32,4547.240431311287
33,4547.240431311287
34,4547.240431311287
35,4547.240431311287
36,4547.240431311287
37,4547.240431311287
