ID	Origin	destination
1	834	338
2	535	776
3	275	110
4	284	480
5	352	382
6	772	33
7	282	25
8	789	601
9	896	54
10	590	735
11	818	236
12	569	758
13	700	230
14	11	720
15	65	771
16	734	666
17	230	892
18	511	916
19	824	182
20	467	512
21	797	6
22	916	474
23	121	656
24	685	911
25	605	415
26	176	445
27	706	308
28	104	820
29	913	410
30	139	82
31	23	710
32	461	494
33	554	422
34	69	536
35	865	722
36	414	388
37	273	603
38	297	268
39	786	451
40	433	681
41	899	224
42	678	540
43	370	549
44	117	310
45	924	547
46	447	699
47	65	193
48	115	318
49	739	790
50	820	703
51	442	470
52	926	29
53	507	614
54	521	857
55	663	754
56	789	110
57	435	370
58	561	316
59	672	780
60	765	502
61	703	694
62	811	242
63	542	249
64	504	71
65	582	70
66	256	687
67	501	617
68	702	453
69	512	65
70	627	63
71	19	932
72	603	924
73	391	377
74	724	231
75	409	635
76	821	262
77	285	498
78	277	348
79	802	525
80	702	275
81	679	630
82	137	192
83	732	688
84	722	861
85	482	406
86	783	103
87	377	692
88	92	122
89	883	810
90	489	627
91	715	103
92	379	442
93	350	588
94	371	457
95	12	283
96	634	34
97	512	756
98	660	542
99	566	485
100	708	187
101	584	105
102	500	778
103	315	262
104	144	160
105	6	91
106	634	653
107	288	381
108	496	71
109	615	137
110	329	206
111	99	830
112	524	907
113	887	865
114	421	256
115	797	716
116	178	681
117	219	734
118	147	926
119	550	861
120	839	711
121	331	26
122	556	593
123	8	562
124	826	270
125	228	614
126	546	914
127	351	27
128	556	356
129	428	784
130	322	760
131	191	597
132	79	881
133	115	671
134	128	662
135	678	906
136	365	133
137	378	927
138	460	75
139	539	671
140	427	274
141	628	589
142	505	16
143	54	822
144	440	315
145	921	121
146	629	765
147	293	536
148	796	405
149	713	395
150	864	125
151	714	671
152	464	549
153	388	614
154	148	56
155	920	710
156	21	872
157	170	142
158	62	453
159	855	294
160	34	464
161	165	393
162	621	496
163	465	436
164	1	10
165	537	104
166	547	932
167	306	385
168	241	79
169	306	566
170	664	869
171	922	348
172	439	417
173	337	311
174	115	895
175	199	399
176	748	155
177	836	805
178	471	54
179	793	664
180	67	466
181	673	104
182	555	718
183	605	754
184	481	144
185	224	152
186	537	248
187	5	13
188	690	100
189	104	95
190	223	792
191	387	816
192	265	51
193	378	396
194	199	503
195	497	431
196	848	816
197	130	732
198	179	147
199	177	586
200	632	545
201	24	683
202	301	458
203	288	374
204	75	267
205	732	124
206	846	359
207	260	16
208	876	344
209	600	88
210	104	753
211	63	702
212	21	442
213	15	898
214	140	679
215	391	141
216	681	598
217	338	868
218	220	898
219	919	307
220	868	124
221	572	529
222	919	543
223	473	612
224	786	388
225	626	625
226	442	354
227	633	77
228	110	698
229	436	329
230	17	921
231	742	859
232	17	91
233	250	52
234	485	37
235	100	179
236	108	621
237	722	420
238	352	524
239	660	582
240	640	673
241	784	907
242	454	466
243	309	79
244	529	508
245	493	89
246	864	531
247	737	495
248	378	712
249	458	661
250	486	684
251	406	931
252	292	102
253	7	481
254	844	83
255	715	686
256	208	622
257	33	194
258	747	548
259	34	754
260	776	812
261	292	48
262	105	253
263	13	220
264	868	310
265	414	592
266	468	787
267	284	78
268	203	239
269	110	151
270	54	319
271	85	823
272	594	676
273	264	404
274	667	583
275	313	37
276	343	520
277	67	395
278	38	643
279	789	414
280	928	360
281	705	409
282	877	185
283	608	563
284	178	315
285	576	333
286	103	247
287	656	459
288	63	445
289	336	542
290	537	857
291	37	559
292	335	328
293	296	615
294	19	768
295	708	413
296	422	692
297	20	860
298	430	9
299	209	431
300	907	554
301	123	56
302	461	79
303	6	472
304	380	423
305	694	288
306	765	213
307	479	696
308	876	843
309	692	72
310	777	517
311	613	257
312	602	230
313	372	36
314	127	703
315	192	475
316	749	793
317	192	133
318	115	76
319	245	178
320	586	912
321	106	275
322	869	917
323	663	138
324	384	819
325	50	912
326	244	551
327	225	563
328	243	908
329	64	266
330	608	574
331	745	472
332	592	102
333	827	151
334	431	717
335	53	794
336	91	532
337	58	481
338	695	200
339	18	347
340	865	399
341	381	876
342	351	256
343	218	306
344	549	588
345	466	174
346	826	226
347	543	684
348	735	273
349	369	547
350	844	22
351	43	589
352	296	686
353	158	364
354	690	534
355	583	512
356	867	397
357	763	792
358	461	270
359	556	839
360	356	625
361	873	241
362	77	620
363	413	573
364	526	324
365	749	58
366	593	351
367	228	333
368	53	159
369	707	585
370	376	652
371	25	771
372	422	783
373	436	283
374	542	461
375	827	820
376	789	757
377	582	285
378	810	682
379	385	846
380	569	226
381	907	409
382	435	75
383	897	511
384	223	132
385	724	443
386	791	690
387	824	542
388	104	642
389	827	238
390	213	150
391	454	316
392	757	578
393	683	867
394	562	260
395	618	370
396	27	332
397	633	588
398	556	799
399	192	554
400	276	326
401	849	370
402	760	16
403	111	917
404	528	289
405	346	734
406	805	623
407	404	659
408	801	426
409	488	37
410	201	622
411	249	499
412	491	637
413	374	708
414	532	369
415	37	200
416	190	917
417	906	426
418	345	806
419	113	436
420	710	30
421	148	595
422	564	452
423	603	601
