iteration,obj_of_RMP
1,7564.798415707545
2,7564.798415707545
3,7564.798415707545
4,7564.798415707545
5,7564.798415707545
6,7564.798415707545
7,7564.798415707545
8,7564.798415707545
9,7564.798415707545
10,7564.798415707545
11,7564.798415707545
12,7564.798415707545
13,7564.798415707545
14,7564.798415707545
15,7564.798415707545
16,7564.798415707545
17,7564.798415707545
18,7564.798415707545
19,7564.798415707545
20,7564.798415707545
21,7564.798415707545
22,7564.798415707545
23,7564.798415707545
24,7564.798415707545
25,7564.798415707545
26,7564.798415707545
27,7564.798415707545
28,7564.798415707545
29,7564.798415707545
30,7564.798415707545
31,7564.798415707545
32,7564.798415707545
33,7564.798415707545
34,7549.653948344474
35,7498.042128334358
36,7498.042128334358
37,7498.042128334358
38,7492.704995066629
39,7492.704995066629
40,7492.704995066629
41,7492.704995066629
42,7492.704995066629
43,7492.704995066629
44,7492.704995066629
45,7492.704995066629
46,7492.704995066629
47,7492.704995066629
48,7492.704995066629
49,7492.704995066629
50,7492.704995066629
51,7492.704995066629
52,7492.704995066629
53,7492.704995066629
