ID	Origin	destination
1	1	2	
2	1	3	
3	1	4	
4	1	5	
5	1	6	
6	1	7	
7	1	8	
8	1	9	
9	1	10	
10	1	11	
11	1	12	
12	1	13	
13	1	14	
14	1	15	
15	1	16	
16	1	17	
17	1	18	
18	1	19	
19	1	20	
20	1	21	
21	1	22	
22	1	23	
23	1	24	
24	2	1	
25	2	3	
26	2	4	
27	2	5	
28	2	6	
29	2	7	
30	2	8	
31	2	9	
32	2	10	
33	2	11	
34	2	12	
35	2	13	
36	2	14	
37	2	15	
38	2	16	
39	2	17	
40	2	18	
41	2	19	
42	2	20	
43	2	21	
44	2	22	
45	2	23	
46	2	24	
47	3	1	
48	3	2	
49	3	4	
50	3	5	
51	3	6	
52	3	7	
53	3	8	
54	3	9	
55	3	10	
56	3	11	
57	3	12	
58	3	13	
59	3	14	
60	3	15	
61	3	16	
62	3	17	
63	3	18	
64	3	19	
65	3	20	
66	3	21	
67	3	22	
68	3	23	
69	3	24	
70	4	1	
71	4	2	
72	4	3	
73	4	5	
74	4	6	
75	4	7	
76	4	8	
77	4	9	
78	4	10	
79	4	11	
80	4	12	
81	4	13	
82	4	14	
83	4	15	
84	4	16	
85	4	17	
86	4	18	
87	4	19	
88	4	20	
89	4	21	
90	4	22	
91	4	23	
92	4	24	
93	5	1	
94	5	2	
95	5	3	
96	5	4	
97	5	6	
98	5	7	
99	5	8	
100	5	9	
101	5	10	
102	5	11	
103	5	12	
104	5	13	
105	5	14	
106	5	15	
107	5	16	
108	5	17	
109	5	18	
110	5	19	
111	5	20	
112	5	21	
113	5	22	
114	5	23	
115	5	24	
116	6	1	
117	6	2	
118	6	3	
119	6	4	
120	6	5	
121	6	7	
122	6	8	
123	6	9	
124	6	10	
125	6	11	
126	6	12	
127	6	13	
128	6	14	
129	6	15	
130	6	16	
131	6	17	
132	6	18	
133	6	19	
134	6	20	
135	6	21	
136	6	22	
137	6	23	
138	6	24	
139	7	1	
140	7	2	
141	7	3	
142	7	4	
143	7	5	
144	7	6	
145	7	8	
146	7	9	
147	7	10	
148	7	11	
149	7	12	
150	7	13	
151	7	14	
152	7	15	
153	7	16	
154	7	17	
155	7	18	
156	7	19	
157	7	20	
158	7	21	
159	7	22	
160	7	23	
161	7	24	
162	8	1	
163	8	2	
164	8	3	
165	8	4	
166	8	5	
167	8	6	
168	8	7	
169	8	9	
170	8	10	
171	8	11	
172	8	12	
173	8	13	
174	8	14	
175	8	15	
176	8	16	
177	8	17	
178	8	18	
179	8	19	
180	8	20	
181	8	21	
182	8	22	
183	8	23	
184	8	24	
185	9	1	
186	9	2	
187	9	3	
188	9	4	
189	9	5	
190	9	6	
191	9	7	
192	9	8	
193	9	10	
194	9	11	
195	9	12	
196	9	13	
197	9	14	
198	9	15	
199	9	16	
200	9	17	
201	9	18	
202	9	19	
203	9	20	
204	9	21	
205	9	22	
206	9	23	
207	9	24	
208	10	1	
209	10	2	
210	10	3	
211	10	4	
212	10	5	
213	10	6	
214	10	7	
215	10	8	
216	10	9	
217	10	11	
218	10	12	
219	10	13	
220	10	14	
221	10	15	
222	10	16	
223	10	17	
224	10	18	
225	10	19	
226	10	20	
227	10	21	
228	10	22	
229	10	23	
230	10	24	
231	11	1	
232	11	2	
233	11	3	
234	11	4	
235	11	5	
236	11	6	
237	11	7	
238	11	8	
239	11	9	
240	11	10	
241	11	12	
242	11	13	
243	11	14	
244	11	15	
245	11	16	
246	11	17	
247	11	18	
248	11	19	
249	11	20	
250	11	21	
251	11	22	
252	11	23	
253	11	24	
254	12	1	
255	12	2	
256	12	3	
257	12	4	
258	12	5	
259	12	6	
260	12	7	
261	12	8	
262	12	9	
263	12	10	
264	12	11	
265	12	13	
266	12	14	
267	12	15	
268	12	16	
269	12	17	
270	12	18	
271	12	19	
272	12	20	
273	12	21	
274	12	22	
275	12	23	
276	12	24	
277	13	1	
278	13	2	
279	13	3	
280	13	4	
281	13	5	
282	13	6	
283	13	7	
284	13	8	
285	13	9	
286	13	10	
287	13	11	
288	13	12	
289	13	14	
290	13	15	
291	13	16	
292	13	17	
293	13	18	
294	13	19	
295	13	20	
296	13	21	
297	13	22	
298	13	23	
299	13	24	
300	14	1	
301	14	2	
302	14	3	
303	14	4	
304	14	5	
305	14	6	
306	14	7	
307	14	8	
308	14	9	
309	14	10	
310	14	11	
311	14	12	
312	14	13	
